speed,speedForward,speedAbs,yaw,steer,surfaceMu,distToCenterline,progress,offTrack,posX,posY,heading0,heading1,heading2,curv0,curv1,curv2,ray0,ray1,ray2,ray3,ray4,ray5,ray6,ray7,ray8,ray9,ray10,ray11,ray12,ray13,ray14,ray15,ray16,ray17,ray18,ray19,ray20,ray21,ray22,ray23,ray24,ray25,ray26,ray27,ray28,ray29,ray30,ray31,targetThrottle,targetBrake,targetSteer,targetHandbrake,dt,carIndex,isAI,sourceTag
5.417997,5.417997,5.417997,-34.529922,-0.129180,1.200000,0.364150,0.371875,0,30.818268,-46.161819,-0.060841,-0.166427,-0.449524,-0.023363,-0.034306,-0.059105,0.086811,0.100945,0.177333,0.663249,0.527139,0.356947,0.234344,0.206461,0.109033,0.126785,0.222727,0.653898,0.507616,0.320542,0.210443,0.184239,0.086274,0.100320,0.176236,0.711677,0.565384,0.366230,0.238929,0.206190,0.108496,0.126161,0.221631,0.702325,0.545861,0.329825,0.213178,0.183968,0.200000,0.000000,-0.124234,0,0.016667,0,1,scripted_ai
5.420786,5.420786,5.420786,-34.534431,-0.124234,1.200000,0.334757,0.371875,0,30.728172,-46.167210,-0.057970,-0.163779,-0.447875,-0.022653,-0.034077,-0.059225,0.086928,0.100817,0.176167,0.659619,0.524514,0.357935,0.234042,0.206438,0.109150,0.126590,0.221203,0.650133,0.504841,0.321292,0.210083,0.184215,0.086591,0.100426,0.175485,0.708095,0.562706,0.366944,0.239295,0.205966,0.108814,0.126199,0.220520,0.698608,0.543033,0.330301,0.213477,0.183744,0.200000,0.000000,-0.119559,0,0.016667,0,1,scripted_ai
5.423558,5.423558,5.423558,-34.538773,-0.119559,1.200000,0.328776,0.371875,0,30.638008,-46.172176,-0.055243,-0.161290,-0.446399,-0.021974,-0.033877,-0.059368,0.087027,0.100679,0.175035,0.655918,0.521832,0.358894,0.233748,0.206438,0.109250,0.126387,0.219730,0.646301,0.502014,0.322019,0.209731,0.184216,0.086884,0.100512,0.174746,0.704440,0.559973,0.367635,0.239441,0.205774,0.109106,0.126220,0.219441,0.694823,0.540155,0.330760,0.213792,0.183551,0.200000,0.000000,-0.115129,0,0.016667,0,1,scripted_ai
5.426314,5.426314,5.426314,-34.542953,-0.115129,1.200000,0.347446,0.371875,0,30.547777,-46.176727,-0.052650,-0.158954,-0.445092,-0.021326,-0.033706,-0.059534,0.087109,0.100530,0.173933,0.652149,0.519095,0.359824,0.233461,0.206461,0.109331,0.126176,0.218304,0.642405,0.499137,0.322724,0.209390,0.184239,0.087151,0.100579,0.174017,0.700715,0.557187,0.368304,0.238963,0.205611,0.109373,0.126225,0.218388,0.690971,0.537228,0.331203,0.214124,0.183389,0.200000,0.000000,-0.110937,0,0.016667,0,1,scripted_ai
5.429053,5.429053,5.429053,-34.546982,-0.110937,1.200000,0.387244,0.371875,0,30.457481,-46.180866,-0.050185,-0.156762,-0.443945,-0.020706,-0.033562,-0.059722,0.087173,0.100370,0.172856,0.648312,0.516306,0.360728,0.233182,0.206506,0.109395,0.125957,0.216921,0.638446,0.496211,0.323407,0.209057,0.184284,0.087394,0.100625,0.173294,0.696922,0.554349,0.368953,0.238500,0.205477,0.109616,0.126211,0.217359,0.687055,0.534254,0.331632,0.214375,0.183255,0.200000,0.000000,-0.106977,0,0.016667,0,1,scripted_ai
5.431775,5.431775,5.431775,-34.550865,-0.106977,1.200000,0.442527,0.371875,0,30.367125,-46.184601,-0.047840,-0.154708,-0.442952,-0.020114,-0.033445,-0.059933,0.087219,0.100199,0.171801,0.644411,0.513466,0.361607,0.232912,0.206574,0.109441,0.125729,0.215574,0.634426,0.493238,0.324071,0.208735,0.184351,0.087612,0.100651,0.172576,0.693062,0.551463,0.369585,0.238050,0.205372,0.109835,0.126181,0.216350,0.683077,0.531236,0.332049,0.213874,0.183149,0.200000,0.000000,-0.103222,0,0.016667,0,1,scripted_ai
5.434481,5.434481,5.434481,-34.554615,-0.103222,1.200000,0.439053,0.375000,0,30.276711,-46.187935,-0.077484,-0.183156,-0.416158,-0.026982,-0.036889,-0.053958,0.087247,0.100016,0.170764,0.640450,0.510579,0.362466,0.232650,0.206662,0.109469,0.125490,0.214258,0.630350,0.490224,0.324721,0.208423,0.184440,0.087807,0.100658,0.171860,0.689142,0.548531,0.370202,0.237616,0.205293,0.110029,0.126133,0.215355,0.679042,0.528176,0.332457,0.213389,0.183071,0.200000,0.000000,-0.147144,0,0.016667,0,1,scripted_ai
5.437171,5.437171,5.437171,-34.559982,-0.147144,1.200000,0.393889,0.375000,0,30.186234,-46.190865,-0.073828,-0.179741,-0.413409,-0.026121,-0.036536,-0.053916,0.087220,0.099679,0.169172,0.637186,0.508375,0.364263,0.232626,0.206823,0.109443,0.125075,0.212275,0.626920,0.487835,0.326214,0.208328,0.184601,0.088019,0.100592,0.170722,0.685936,0.546262,0.371649,0.237343,0.205216,0.110242,0.125988,0.213825,0.675670,0.525722,0.333600,0.213045,0.182993,0.200000,0.000000,-0.141022,0,0.016667,0,1,scripted_ai
5.439845,5.439845,5.439845,-34.565125,-0.141022,1.200000,0.366350,0.375000,0,30.095699,-46.193378,-0.070378,-0.176545,-0.410890,-0.025306,-0.036221,-0.053902,0.087178,0.099339,0.167642,0.633826,0.506092,0.366010,0.232604,0.207006,0.109400,0.124660,0.210375,0.623401,0.485373,0.327667,0.208237,0.184784,0.088206,0.100509,0.169618,0.682633,0.543916,0.373056,0.237082,0.205170,0.110428,0.125831,0.212351,0.672208,0.523197,0.334713,0.212714,0.182948,0.200000,0.000000,-0.135254,0,0.016667,0,1,scripted_ai
5.442502,5.442502,5.442502,-34.570057,-0.135254,1.200000,0.360536,0.375000,0,30.005108,-46.195473,-0.067118,-0.173554,-0.408586,-0.024534,-0.035942,-0.053914,0.087119,0.098993,0.166163,0.630377,0.503735,0.367715,0.232585,0.207212,0.109341,0.124244,0.208547,0.619797,0.482844,0.329085,0.208151,0.184989,0.088366,0.100410,0.168541,0.679239,0.541498,0.374429,0.236832,0.205155,0.110589,0.125661,0.210926,0.668658,0.520606,0.335798,0.212398,0.182933,0.200000,0.000000,-0.129808,0,0.016667,0,1,scripted_ai
